Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SouthKorea,17,15,12,9,7,6,5,5,4,4,8,8,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,12,15,15,16,17,18,21,23,20,18,18,20,20,19,20,21,19,18,18,18,18,21,18,18,18,15,17,16,15,14,13,14,14
Pacific,207,222,231,229,228,245,251,268,290,295,310,333,344,347,355,376,380,396,397,412,441,420,440,463,493,516,503,502,488,507,496,458,462
Australia,205,220,228,226,225,242,247,264,287,291,307,329,340,342,350,371,375,391,392,408,436,415,435,458,489,512,500,499,485,504,493,455,459
NewZealand,3,3,3,3,3,4,4,4,3,4,3,4,4,5,5,5,6,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3
Africa,182,186,183,196,203,213,213,226,229,230,231,230,226,244,248,251,250,253,256,254,259,259,269,268,276,270,267,276,280,275,260,245,241
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthAfrica,175,178,174,188,196,206,206,220,223,224,224,224,220,239,243,245,245,248,252,249,255,253,259,256,261,256,256,257,256,258,247,229,225
Middle-East,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
Iran,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaudiArabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UnitedArabEmirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
